client_name,client_code,dealer,customer_code,warehouse_name,province_name,city_name
深圳市光明新区公明语丽龙汽车维修护理中心,extra21010379,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市坤晟汽车服务有限公司,extra21010878,江苏康众汽配有限公司,KZ,深圳宝安仓库,广东省,深圳市
深圳市百胜汽车服务有限公司,extra22011353,江苏康众汽配有限公司,KZ,深圳龙城仓库,广东省,深圳市
深圳市驰天汽车服务有限公司,extra22012041,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市绍光正力汽车服务有限公司龙岗分公司,extra22012046,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
深圳市乐通爱车养护有限公司,extra22012083,江苏康众汽配有限公司,KZ,深圳宝安仓库,广东省,深圳市
深圳市龙岗区城峰汽车维修中心,extra22012113,江苏康众汽配有限公司,KZ,深圳龙城仓库,广东省,深圳市
深圳市龙华区浩瀚车汇汽车美容店,extra22012568,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市多轮多汽车服务有限公司,extra22023702,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
深圳市龙岗区平湖镇铃皇汽车修配厂,extra22023739,江苏康众汽配有限公司,KZ,深圳平湖仓库,广东省,深圳市
深圳车王汽车贸易有限公司,extra22023750,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市龙华新区观澜顺平汽车维修养护中心,extra22023912,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市龙华区爱车会汽车维修中心,extra22023947,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市龙华新区观澜世纪行汽车服务行,extra22024146,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市龙华区观澜创通汽车维修部,extra22024830,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
优车汇汽车美容（深圳）有限公司,extra22025591,江苏康众汽配有限公司,KZ,深圳平湖仓库,广东省,深圳市
深圳市名车道汽车服务有限公司宝安分公司,extra22025625,江苏康众汽配有限公司,KZ,深圳宝安仓库,广东省,深圳市
深圳市龙岗区布吉坂田龙辉汽车专项维修部,extra22028183,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
深圳市双龙车镇汽车有限公司,extra23029712,江苏康众汽配有限公司,KZ,深圳龙城仓库,广东省,深圳市
深圳南华森迪汽车服务有限公司,extra22023583,深圳市玖玖利贸易有限公司,118000411,玖玖利流塘店,广东省,深圳市
深圳市全威汽车技术有限公司,extra22023605,深圳市玖玖利贸易有限公司,118000411,玖玖利罗湖店,广东省,深圳市
深圳市通驰信凯汽车服务有限公司,extra22023611,深圳市玖玖利贸易有限公司,118000411,玖玖利龙华店,广东省,深圳市
深圳市宝安区途乐悦车汇汽车服务中心,extra22023744,深圳市玖玖利贸易有限公司,118000411,玖玖利流塘店,广东省,深圳市
深圳市荣锦昌汽车销售服务有限公司,extra22023973,深圳市玖玖利贸易有限公司,118000411,玖玖利龙华店,广东省,深圳市
深圳市龙岗区尚车族汽车服务中心,extra22024041,深圳市玖玖利贸易有限公司,118000411,玖玖利龙岗店,广东省,深圳市
深圳市宝安区燕罗街道车盛会汽车美容中心,extra22024458,深圳市玖玖利贸易有限公司,118000411,玖玖利流塘店,广东省,深圳市
深圳市鑫恒和汽车科技有限公司,extra22024495,深圳市玖玖利贸易有限公司,118000411,玖玖利流塘店,广东省,深圳市
深圳市宝安区西乡安记汽车服务店,extra22024607,深圳市玖玖利贸易有限公司,118000411,玖玖利流塘店,广东省,深圳市
深圳市奥捷汽车服务有限公司,extra22024643,深圳市玖玖利贸易有限公司,118000411,玖玖利流塘店,广东省,深圳市
深圳市邦田汽车维修有限公司,extra22024733,深圳市玖玖利贸易有限公司,118000411,玖玖利罗湖店,广东省,深圳市
深圳市车路达汽车服务有限公司,extra22013010,江苏康众汽配有限公司,KZ,深圳龙城仓库,广东省,深圳市
深圳市龙华区观湖环冠汽车维修服务中心,extra22013177,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市龙华区观湖德豪精工汽修部,extra22013256,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市顺通达汽车服务中心,extra22013837,江苏康众汽配有限公司,KZ,深圳龙城仓库,广东省,深圳市
深圳市龙岗区坪地街道顺景峰汽车维修服务部,extra22013907,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
洗车人家,extra22016653,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
深圳市光明区铭达汽车修配部,extra22016657,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市奔利星汽车服务有限公司,extra22016840,江苏康众汽配有限公司,KZ,深圳平湖仓库,广东省,深圳市
深圳市德润行汽车服务有限公司,extra22016867,江苏康众汽配有限公司,KZ,深圳宝安仓库,广东省,深圳市
深圳市龙岗区通发汽车服务中心,extra22017024,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
深圳市龙岗区坂田车臣汽车修配厂,extra22018245,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
开思时代科技（深圳）有限公司,extra22018387,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
德研汽车服务(深圳)有限公司,extra22018701,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市龙岗区丽影汽车用品商行,extra21010422,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
深圳市万车荟汽车服务有限公司,extra22011758,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
深圳市龙岗区坂田小聂汽车维修店,extra22012039,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
深圳市京田汽车服务有限公司,extra22012049,江苏康众汽配有限公司,KZ,深圳平湖仓库,广东省,深圳市
深圳市龙岗区车世界汽配经营部,extra22012115,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
深圳市龙岗区锦驰行汽车维修服务部,extra22016669,江苏康众汽配有限公司,KZ,深圳龙城仓库,广东省,深圳市
深圳市车杰仕汽车美容服务有限公司,extra22012210,深圳市玖玖利贸易有限公司,118000411,玖玖利龙华店,广东省,深圳市
深圳市龙岗区鸿天顺汽车配件店,extra21010508,深圳市玖玖利贸易有限公司,118000411,玖玖利龙岗店,广东省,深圳市
深圳市一车一语汽车服务有限公司,extra22012112,深圳市玖玖利贸易有限公司,118000411,玖玖利龙岗店,广东省,深圳市
深圳市恒鑫隆汽车服务有限公司,extra22012726,深圳市玖玖利贸易有限公司,118000411,玖玖利龙岗店,广东省,深圳市
深圳市环球汽车修理有限公司,extra22016758,深圳市玖玖利贸易有限公司,118000411,玖玖利罗湖店,广东省,深圳市
深圳市尊驾汇汽车技术服务有限公司,extra22019338,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
深圳市集信汽车服务有限公司,extra20005688,江苏康众汽配有限公司,KZ,深圳龙城仓库,广东省,深圳市
深圳市柏襄宝北务限公司冷气修公司,extra20005736,江苏康众汽配有限公司,KZ,深圳龙城仓库,广东省,深圳市
深圳市金轮汇汽车服务有限公司,extra20005743,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
星河汽车服务中心,extra20005944,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市冠轴汽车服务有限公司,extra20006075,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市汇鑫行汽车服务有限公司,extra20006138,江苏康众汽配有限公司,KZ,深圳观澜仓库,广东省,深圳市
深圳市大工匠汽车服务有限公司,extra20006188,江苏康众汽配有限公司,KZ,深圳龙城仓库,广东省,深圳市
深圳市美吧汽车服务有限公司,extra20006234,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
深圳市宝利通汽车服务有限公司,extra20006362,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
港源汽配,extra20006393,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
深圳市鼎盈新能源汽车有限公司,extra20006979,江苏康众汽配有限公司,KZ,深圳龙华仓库,广东省,深圳市
